NO.,BRANCH,LATITUDE,LONGITUDE
1,AGLAYAN,8.0519698,125.1360168
2,AGORA,8.4866869,124.6591056
3,BALINGASAG,0,0
4,BAUNGON,8.3140039,124.6848803
5,BULUA,8.5042619,124.6185838
6,BUTUAN,8.9511927,125.5388205
7,CARMEN,8.4792211,124.637204
8,COGON,8.4744024,124.650255
9,DON CARLOS,7.6733111,124.9954465
10,EL SALVADOR,8.5359251,124.5634828
11,GINGOOG,8.8246723,125.1056759
12,HEAD OFFICE,8.4801257,124.6439672
13,ILUSTRE,0,0
14,MANOLO,8.368041,124.8620117
15,MARAMAG,7.7639863,125.0044782
16,PUERTO,8.4971038,124.7475246
17,TAGBILARAN,9.6395568,123.8550957
18,TALAKAG,8.2346347,124.6006891
19,TORIL,0,0
20,TUBIGON,0,0
21,UBAY,10.0575826,124.4713691
22,VALENCIA,7.8987564,125.0877883
23,YACAPIN,8.4801257,124.6439672
