id,province_city,city_mun_brgy,latitude,longitude
1,Agusan del Norte,Buenavista,8.7859,125.3686
2,Agusan del Norte,Butuan,8.9475,125.5406
3,Agusan del Norte,Cabadbaran,9.1222,125.5376
4,Agusan del Norte,Carmen,8.9387,125.2478
5,Agusan del Norte,Jabonga,9.3294,125.5529
6,Agusan del Norte,Kitcharao,9.4207,125.6205
7,Agusan del Norte,Las Nieves,8.7069,125.4124
8,Agusan del Norte,Magallanes,9.0356,125.5548
9,Agusan del Norte,Nasipit,8.9715,125.3518
10,Agusan del Norte,Remedios T. Romualdez,9.05,125.59
11,Agusan del Norte,Santiago,9.2417,125.6314
12,Agusan del Norte,Tubay,9.167,125.524
13,Bukidnon,Baungon,8.3125,124.6872222
14,Bukidnon,Cabanglasan,8.0763889,125.3011111
15,Bukidnon,Damulog,7.4813889,124.9388889
16,Bukidnon,Dangcagan,7.61,125.0041667
17,Bukidnon,Don Carlos,7.6838889,124.9947222
18,Bukidnon,Impasug-ong,8.3033333,125.0008333
19,Bukidnon,Kadingilan,7.6,124.91
20,Bukidnon,Kalilangan,7.7466667,124.7480556
21,Bukidnon,Kibawe,7.5677778,124.9902778
22,Bukidnon,Kitaotao,7.6388889,125.0075
23,Bukidnon,Lantapan,8.0261111,124.9880556
24,Bukidnon,Libona,8.3347222,124.7436111
25,Bukidnon,Malaybalay,8.1552778,125.1302778
26,Bukidnon,Malitbog,8.5363889,124.8791667
27,Bukidnon,Manolo Fortich,8.3658333,124.8636111
28,Bukidnon,Maramag,7.7611111,125.0047222
29,Bukidnon,Pangantucan,7.8322222,124.8283333
30,Bukidnon,Quezon,7.7308333,125.1
31,Bukidnon,San Fernando,7.9166667,125.3286111
32,Bukidnon,Sumilao,8.3269444,124.9777778
33,Bukidnon,Talakag,8.2322222,124.6036111
34,Bukidnon,Valencia,7.9027778,125.0897222
35,Camiguin,Catarman,9.1698,124.6746
36,Camiguin,Guinsiliban,9.1,124.7854
37,Camiguin,Mahinog,9.1559,124.7846
38,Camiguin,Mambajao,9.2322,124.7078
39,Camiguin,Sagay,9.1249,124.7409
